entry_date,ticker,rank_with_corrupted,rank_excluding_distorting,delta,n_distorting_that_date
2024-07-25,CROMPTON.NS,71.0,71.0,0.0,18
2024-07-25,SUNPHARMA.NS,50.0,50.0,0.0,18
2024-07-25,TMPV.NS,60.0,60.0,0.0,18
2024-07-25,GRANULES.NS,69.0,69.0,0.0,18
2024-07-25,IOC.NS,64.0,63.0,-1.0,18
2024-07-25,PETRONET.NS,66.0,66.0,0.0,18
2024-07-25,FORTIS.NS,49.0,48.0,-1.0,18
2024-07-25,COHANCE.NS,77.0,77.0,0.0,18
2024-08-01,SUZLON.NS,95.0,96.0,1.0,18
2024-08-01,HSCL.NS,85.0,85.0,0.0,18
2024-08-01,MINDACORP.NS,59.0,58.0,-1.0,18
2024-08-01,JUBLPHARMA.NS,85.0,85.0,0.0,18
2024-08-01,TORNTPOWER.NS,93.0,93.0,0.0,18
2024-08-08,LALPATHLAB.NS,59.0,58.0,-1.0,17
2024-08-08,ALKEM.NS,47.0,47.0,0.0,17
2024-08-08,CIPLA.NS,37.0,36.0,-1.0,17
2024-08-08,TRITURBINE.NS,81.0,81.0,0.0,17
2024-08-16,GLENMARK.NS,90.0,91.0,1.0,17
2024-08-16,KAYNES.NS,95.0,95.0,0.0,17
2024-08-16,POLICYBZR.NS,90.0,90.0,0.0,17
2024-08-16,CDSL.NS,82.0,82.0,0.0,17
2024-08-23,GILLETTE.NS,55.0,54.0,-1.0,17
2024-08-30,INDHOTEL.NS,52.0,51.0,-1.0,17
2024-08-30,BHARTIARTL.NS,68.0,67.0,-1.0,17
2024-09-06,PPLPHARMA.NS,89.0,90.0,1.0,17
2024-09-06,GODREJIND.NS,89.0,89.0,0.0,17
2024-09-06,DMART.NS,50.0,49.0,-1.0,17
2024-09-13,CARTRADE.NS,65.0,65.0,0.0,17
2024-09-13,ABREL.NS,92.0,92.0,0.0,17
2024-09-13,NEWGEN.NS,87.0,87.0,0.0,17
2024-09-13,JBMA.NS,41.0,40.0,-1.0,17
2024-09-13,NAVA.NS,96.0,96.0,0.0,17
2024-09-13,OFSS.NS,94.0,94.0,0.0,17
2024-09-20,HINDUNILVR.NS,47.0,45.0,-2.0,17
2024-09-20,UBL.NS,33.0,31.0,-2.0,17
2024-09-20,APTUS.NS,31.0,30.0,-1.0,17
2024-09-20,ULTRACEMCO.NS,42.0,40.0,-2.0,17
2024-09-20,PIIND.NS,56.0,56.0,0.0,17
2024-09-20,INDUSINDBK.NS,9.0,7.0,-2.0,17
2024-09-20,UNITDSPR.NS,66.0,66.0,0.0,17
2024-09-20,SANSERA.NS,84.0,84.0,0.0,17
2024-09-20,BIKAJI.NS,86.0,86.0,0.0,17
2024-09-20,MCDOWELL-N.NS,66.0,66.0,0.0,17
2024-09-20,ASAHIINDIA.NS,59.0,58.0,-1.0,17
