entry_date,ticker,rank_with_corrupted,rank_excluding_distorting,delta,n_distorting_that_date
2024-08-14,POLICYBZR.NS,86.0,86.0,0.0,17
2024-08-14,KAYNES.NS,94.0,94.0,0.0,17
2024-08-14,TRITURBINE.NS,87.0,88.0,1.0,17
2024-08-22,GILLETTE.NS,50.0,49.0,-1.0,17
2024-08-22,SUMICHEM.NS,59.0,58.0,-1.0,17
2024-08-22,INDHOTEL.NS,58.0,57.0,-1.0,17
2024-08-29,GILLETTE.NS,64.0,63.0,-1.0,17
2024-08-29,INDIGO.NS,78.0,78.0,0.0,17
2024-08-29,GODREJIND.NS,69.0,68.0,-1.0,17
2024-08-29,CHOICEIN.NS,86.0,86.0,0.0,17
2024-08-29,NBCC.NS,96.0,96.0,0.0,17
2024-09-05,PPLPHARMA.NS,87.0,87.0,0.0,17
2024-09-05,CEATLTD.NS,37.0,37.0,0.0,17
2024-09-05,DMART.NS,45.0,44.0,-1.0,17
2024-09-05,BIOCON.NS,61.0,61.0,0.0,17
2024-09-05,SYNGENE.NS,46.0,45.0,-1.0,17
2024-09-05,IOC.NS,62.0,61.0,-1.0,17
2024-09-12,CARTRADE.NS,58.0,57.0,-1.0,17
2024-09-12,BIOCON.NS,58.0,57.0,-1.0,17
2024-09-12,APOLLOHOSP.NS,46.0,45.0,-1.0,17
2024-09-12,JSWSTEEL.NS,25.0,24.0,-1.0,17
2024-09-12,ASTERDM.NS,24.0,23.0,-1.0,17
2024-09-12,ABREL.NS,92.0,92.0,0.0,17
2024-09-12,BHARTIARTL.NS,74.0,74.0,0.0,17
2024-09-12,HAVELLS.NS,55.0,54.0,-1.0,17
2024-09-12,NAVA.NS,95.0,96.0,1.0,17
2024-09-19,UBL.NS,36.0,35.0,-1.0,17
2024-09-19,JUBLFOOD.NS,65.0,65.0,0.0,17
2024-09-19,AVALON.NS,30.0,29.0,-1.0,17
2024-09-19,UNITDSPR.NS,64.0,64.0,0.0,17
2024-09-19,MGL.NS,79.0,79.0,0.0,17
2024-09-19,BIKAJI.NS,85.0,85.0,0.0,17
2024-09-19,NAUKRI.NS,78.0,78.0,0.0,17
2024-09-19,ASAHIINDIA.NS,45.0,45.0,0.0,17
2024-09-19,MCDOWELL-N.NS,64.0,64.0,0.0,17
2024-09-19,GALLANTT.NS,98.0,98.0,0.0,17
2024-09-26,APOLLOTYRE.NS,49.0,48.0,-1.0,17
2024-09-26,WELCORP.NS,72.0,72.0,0.0,17
2024-09-26,JUBLFOOD.NS,55.0,54.0,-1.0,17
2024-09-26,MOTHERSON.NS,87.0,87.0,0.0,17
2024-09-26,TATACOMM.NS,34.0,32.0,-2.0,17
2024-09-26,VIYASH.NS,89.0,89.0,0.0,17
2024-09-26,CHOLAHLDNG.NS,90.0,90.0,0.0,17
2024-09-26,HINDCOPPER.NS,72.0,71.0,-1.0,17
2024-10-04,CEATLTD.NS,54.0,53.0,-1.0,17
2024-10-04,METROPOLIS.NS,60.0,59.0,-1.0,17
2024-10-04,JSWSTEEL.NS,46.0,45.0,-1.0,17
2024-10-04,LALPATHLAB.NS,70.0,70.0,0.0,17
2024-10-11,PAGEIND.NS,48.0,47.0,-1.0,17
2024-10-11,IPCALAB.NS,80.0,80.0,0.0,17
2024-10-11,TRITURBINE.NS,86.0,86.0,0.0,17
2024-11-08,CHOICEIN.NS,92.0,93.0,1.0,16
2024-11-08,PAYTM.NS,93.0,93.0,0.0,16
2024-12-03,EIDPARRY.NS,76.0,76.0,0.0,16
2024-12-03,MEDANTA.NS,29.0,27.0,-2.0,16
2024-12-03,KEC.NS,86.0,86.0,0.0,16
2024-12-10,MEDANTA.NS,30.0,28.0,-2.0,16
2024-12-10,OFSS.NS,91.0,92.0,1.0,16
2024-12-10,REDINGTON.NS,41.0,39.0,-2.0,16
2024-12-10,ZENSARTECH.NS,69.0,69.0,0.0,16
2024-12-10,ANURAS.NS,15.0,12.0,-3.0,16
2024-12-10,KIMS.NS,80.0,79.0,-1.0,16
2024-12-17,PRESTIGE.NS,72.0,71.0,-1.0,16
2024-12-17,CHOICEIN.NS,93.0,93.0,0.0,16
2024-12-17,SUZLON.NS,78.0,77.0,-1.0,16
2024-12-17,ZENSARTECH.NS,69.0,69.0,0.0,16
2024-12-17,ACE.NS,68.0,68.0,0.0,16
2024-12-24,INDIACEM.NS,84.0,85.0,1.0,16
2024-12-24,KFINTECH.NS,97.0,98.0,1.0,16
2025-01-01,CRISIL.NS,84.0,85.0,1.0,16
2025-01-01,SYRMA.NS,77.0,77.0,0.0,16
2025-01-01,ACE.NS,73.0,73.0,0.0,16
2025-01-08,UNITDSPR.NS,75.0,75.0,0.0,17
2025-01-08,MCDOWELL-N.NS,75.0,75.0,0.0,17
2025-01-08,KIMS.NS,89.0,89.0,0.0,17
2025-01-29,SBICARD.NS,71.0,71.0,0.0,16
2025-02-11,BHARTIARTL.NS,90.0,90.0,0.0,15
2025-02-18,BHARTIARTL.NS,92.0,92.0,0.0,11
2025-02-25,NH.NS,89.0,89.0,0.0,7
2025-03-05,CHOLAFIN.NS,90.0,90.0,0.0,7
2025-03-05,NH.NS,95.0,95.0,0.0,7
2025-03-05,FORCEMOT.NS,77.0,76.0,-1.0,7
2025-03-12,KOTAKBANK.NS,89.0,90.0,1.0,6
2025-03-20,CHOLAFIN.NS,88.0,88.0,0.0,9
2025-03-20,SCHAEFFLER.NS,70.0,70.0,0.0,9
2025-03-20,MANAPPURAM.NS,89.0,88.0,-1.0,9
2025-03-20,NMDC.NS,63.0,62.0,-1.0,9
2025-03-27,BAJFINANCE.NS,93.0,94.0,1.0,7
2025-03-27,NTPC.NS,28.0,28.0,0.0,7
2025-03-27,KOTAKBANK.NS,86.0,87.0,1.0,7
2025-03-27,ZFCVINDIA.NS,44.0,44.0,0.0,7
2025-03-27,PGEL.NS,99.0,99.0,0.0,7
2025-03-27,NAVA.NS,91.0,91.0,0.0,7
2025-04-04,TORNTPHARM.NS,79.0,79.0,0.0,7
2025-04-04,EMAMILTD.NS,67.0,67.0,0.0,7
2025-04-04,GMRAIRPORT.NS,64.0,64.0,0.0,7
2025-04-15,MEDANTA.NS,81.0,80.0,-1.0,8
2025-04-15,HDFCBANK.NS,84.0,84.0,0.0,8
2025-04-15,APOLLOHOSP.NS,70.0,69.0,-1.0,8
2025-04-15,HOMEFIRST.NS,77.0,76.0,-1.0,8
2025-04-15,PAGEIND.NS,77.0,77.0,0.0,8
2025-04-15,ADANIPOWER.NS,53.0,52.0,-1.0,8
2025-04-15,MRF.NS,61.0,60.0,-1.0,8
2025-04-15,AWL.NS,35.0,35.0,0.0,8
2025-04-15,3MINDIA.NS,52.0,52.0,0.0,8
2025-04-23,DMART.NS,73.0,73.0,0.0,9
2025-04-23,LODHA.NS,76.0,76.0,0.0,9
2025-04-23,PATANJALI.NS,82.0,82.0,0.0,9
2025-04-23,ANGELONE.NS,50.0,50.0,0.0,9
2025-04-23,CHOLAFIN.NS,85.0,85.0,0.0,9
2025-04-23,KIMS.NS,95.0,95.0,0.0,9
2025-04-30,PIDILITIND.NS,61.0,60.0,-1.0,7
2025-04-30,HDFCLIFE.NS,82.0,81.0,-1.0,7
2025-04-30,IOC.NS,39.0,38.0,-1.0,7
2025-05-08,APLAPOLLO.NS,78.0,77.0,-1.0,9
2025-05-08,KPRMILL.NS,94.0,94.0,0.0,9
2025-05-08,ENDURANCE.NS,53.0,53.0,0.0,9
2025-05-15,ABSLAMC.NS,47.0,47.0,0.0,2
2025-05-15,TATAPOWER.NS,44.0,44.0,0.0,2
2025-05-15,SHREECEM.NS,85.0,85.0,0.0,2
2025-05-15,CESC.NS,62.0,62.0,0.0,2
2025-05-15,PAGEIND.NS,75.0,75.0,0.0,2
2025-05-15,CHENNPETRO.NS,38.0,38.0,0.0,2
2025-05-15,PIDILITIND.NS,56.0,56.0,0.0,2
2025-05-15,ESCORTS.NS,51.0,51.0,0.0,2
2025-05-22,FORTIS.NS,88.0,89.0,1.0,1
