detector,stage,count,pct_of_total
VCP,NOT_IN_UPTREND,11551,68.1
VCP,NOT_CONTRACTING,5164,30.5
VCP,SETUP_VALID_NO_BREAKOUT,218,1.3
VCP,BREAKOUT_CONFIRMED_FRESH,25,0.1
Flat_Base,NOT_IN_UPTREND,11551,68.1
Flat_Base,SETUP_VALID_NO_BREAKOUT,3124,18.4
Flat_Base,BASE_TOO_DEEP,2188,12.9
Flat_Base,BREAKOUT_CONFIRMED_FRESH,95,0.6
Cup_Handle,NOT_IN_UPTREND,11551,68.1
Cup_Handle,CUP_NOT_ROUNDED,3622,21.4
Cup_Handle,SETUP_VALID_NO_BREAKOUT,1052,6.2
Cup_Handle,HANDLE_TOO_DEEP,326,1.9
Cup_Handle,CUP_DEPTH_OUT_OF_RANGE,232,1.4
Cup_Handle,INSUFFICIENT_HISTORY,132,0.8
Cup_Handle,BREAKOUT_CONFIRMED_FRESH,43,0.3
Ascending_Triangle,NOT_IN_UPTREND,11551,68.1
Ascending_Triangle,SETUP_VALID_NO_BREAKOUT,3165,18.7
Ascending_Triangle,RESISTANCE_NOT_FLAT,2049,12.1
Ascending_Triangle,BREAKOUT_CONFIRMED_FRESH,187,1.1
Ascending_Triangle,INSUFFICIENT_PIVOTS,6,0.0
Bull_Flag,NOT_IN_UPTREND,11551,68.1
Bull_Flag,FLAGPOLE_TOO_WEAK,5227,30.8
Bull_Flag,FLAG_RETRACE_TOO_DEEP,147,0.9
Bull_Flag,SETUP_VALID_NO_BREAKOUT,31,0.2
Bull_Flag,BREAKOUT_CONFIRMED_FRESH,2,0.0
