ticker,episode_start_date,episode_end_date,category,category_changes,pattern_used,market_regime_verdict,sector_health_verdict,confidence_score,exit_reason,days_held,gross_return_pct,net_return_pct,r_multiple,n_signals_absorbed,consolidation_valid,consolidation_invalidated_reason,prior_trend_pct_gain,prior_trend_slope,prior_trend_bars,base_depth_pct,base_length_bars,contraction_slope,volume_dryup_ratio,volume_down_up_ratio,pivot_proximity,breakout_volume_ratio,dist_52w_high,dist_52w_high_invalidated_reason,rs_line_new_high,rs_line_invalidated_reason,rs_line_value,excluded_insufficient_history,RS_Rating,macd_signal
360ONE.NS,2023-12-11,2023-12-14,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,3,8.059453633123043,7.7594536331230435,1.2034707913128477,1,True,,10.02,1.4311,7.0,19.19,17.0,1.2e-05,4.707,3.441,1.72,0.181,1.72,,True,,0.03079,False,72.0,
PARADEEP.NS,2023-12-11,2023-12-14,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,3,7.529141383283856,7.2291413832838565,1.2001935239478214,1,True,,12.11,3.0264,4.0,11.93,28.0,-0.000312,1.195,0.542,2.7,0.785,9.15,,False,,0.003262,False,24.0,
CARTRADE.NS,2023-12-11,2024-01-10,AVOID,AVOID,,CAUTION,,0.0,STOP_HIT,21,-9.102119431014431,-9.402119431014432,-1.032959356584334,5,True,,41.26,1.7938,23.0,17.29,11.0,2.6e-05,0.325,0.43,10.73,0.749,14.22,,False,,0.036755,False,65.0,
PAGEIND.NS,2023-12-11,2024-01-02,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,15,4.801494308264563,4.501494308264563,1.171899313854327,3,True,,3.88,0.3237,12.0,4.47,6.0,0.000308,2.561,1.399,2.48,1.753,21.45,,False,,1.776045,False,3.0,
CASTROLIND.NS,2023-12-11,2023-12-14,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,3,5.685156225811929,5.385156225811929,1.1840387519524234,1,True,,5.06,2.5302,2.0,7.82,22.0,-0.000132,1.166,0.847,2.73,0.862,13.24,,False,,0.006694,False,12.0,
ONGC.NS,2023-12-11,2023-12-20,AVOID,AVOID,,CAUTION,WEAK,2.0,TARGET_HIT,7,6.163327789428137,5.863327789428137,1.189156245974256,2,True,,9.43,1.8868,5.0,5.73,6.0,0.000516,1.679,0.698,3.93,0.862,3.93,,False,,0.00942,False,35.0,
CCL.NS,2023-12-11,2024-02-07,AVOID,AVOID,,CAUTION,NEUTRAL,15.6,TIME_EXIT,40,3.0656370656370693,2.7656370656370695,0.5158940758915542,8,True,,10.24,1.2795,8.0,5.16,7.0,1.4e-05,1.555,0.686,4.49,0.548,13.61,,False,,0.030838,False,28.0,
OLECTRA.NS,2023-12-11,2023-12-15,AVOID,AVOID,,CAUTION,NEUTRAL,36.8,TARGET_HIT,4,8.221809763092503,7.9218097630925035,1.2043896038943418,1,True,,15.63,2.2327,7.0,12.0,14.0,-0.000317,0.902,0.631,7.44,0.716,15.47,,False,,0.05898,False,84.0,
CDSL.NS,2023-12-11,2023-12-20,AVOID,AVOID,,CAUTION,,0.0,STOP_HIT,7,-6.530364543104892,-6.830364543104892,-1.0459392424450111,2,True,,54.67,2.1027,26.0,6.19,6.0,-0.000392,0.449,1.045,3.12,0.395,3.12,,False,,0.048745,False,85.0,
PATANJALI.NS,2023-12-11,2024-02-07,AVOID,AVOID,,CAUTION,NEUTRAL,14.2,TIME_EXIT,40,2.3480359885889825,2.0480359885889827,0.3059068729113749,8,True,,24.07,2.4066,10.0,21.14,22.0,8.8e-05,1.502,0.421,4.21,0.896,4.21,,True,,0.025246,False,71.0,
