as_of_date,ticker,trailing_momentum_pct,return_pct,net_return_pct
2024-07-22,COCHINSHIP.NS,142.98,-22.32,-22.62
2024-07-29,SHRIRAMFIN.NS,186.01,9.73,9.43
2024-08-05,COCHINSHIP.NS,87.25,-21.97,-22.27
2024-08-12,COCHINSHIP.NS,94.55,-20.88,-21.18
2024-08-20,E2E.NS,122.39,21.21,20.91
2024-08-27,E2E.NS,132.32,27.88,27.58
2024-09-03,AIIL.NS,80.24,9.54,9.24
2024-09-10,PAYTM.NS,67.95,13.45,13.15
2024-09-17,MARKSANS.NS,85.36,-0.47,-0.77
2024-09-24,MARKSANS.NS,88.69,-12.31,-12.61
2024-10-01,E2E.NS,91.65,34.43,34.13
2024-10-09,BSE.NS,78.94,12.04,11.74
2024-10-16,E2E.NS,128.8,25.84,25.54
2024-10-23,E2E.NS,106.9,24.98,24.68
2024-10-30,E2E.NS,133.92,8.37,8.07
2024-11-06,E2E.NS,216.15,-17.72,-18.02
2024-11-13,E2E.NS,136.4,-7.52,-7.82
2024-11-22,E2E.NS,76.16,-10.9,-11.2
2024-11-29,AVALON.NS,86.08,0.68,0.38
2024-12-06,BSE.NS,86.69,-5.7,-6.0
2024-12-13,BSE.NS,96.41,-8.49,-8.79
2024-12-20,AVALON.NS,68.65,-16.11,-16.41
2024-12-30,AVALON.NS,61.29,-33.9,-34.2
2025-01-06,AVALON.NS,63.77,-24.95,-25.25
2025-01-13,AVALON.NS,35.07,-16.36,-16.66
2025-01-20,AVALON.NS,41.04,-23.59,-23.89
2025-01-27,REDINGTON.NS,39.74,12.15,11.85
2025-02-01,NAVINFLUOR.NS,23.03,-7.4,-7.7
2025-02-07,MUTHOOTFIN.NS,24.38,-2.67,-2.97
2025-02-14,REDINGTON.NS,28.25,-7.42,-7.72
2025-02-21,BSE.NS,29.94,-19.21,-19.51
2025-03-03,BAJFINANCE.NS,29.25,0.48,0.18
2025-03-10,BAJFINANCE.NS,20.28,4.71,4.41
2025-03-18,CHOLAFIN.NS,21.53,9.54,9.24
2025-03-25,BAJFINANCE.NS,33.18,0.28,-0.02
2025-04-02,NAVINFLUOR.NS,29.46,8.88,8.58
2025-04-09,INDIGO.NS,21.86,6.3,6.0
2025-04-21,INDIGO.NS,35.18,-0.99,-1.29
2025-04-28,SOLARINDS.NS,41.1,21.09,20.79
2025-05-06,SOLARINDS.NS,37.83,26.02,25.72
2025-05-13,BDL.NS,46.6,12.62,12.32
2025-05-20,BDL.NS,58.1,5.87,5.57
2025-05-27,BDL.NS,94.1,-5.53,-5.83
2025-06-03,BDL.NS,93.11,0.17,-0.13
2025-06-10,BDL.NS,84.97,0.12,-0.18
2025-06-17,SOLARINDS.NS,75.39,-10.43,-10.73
2025-06-24,LLOYDSENT.NS,80.54,5.63,5.33
2025-07-01,LLOYDSENT.NS,100.61,-7.39,-7.69
2025-07-08,CUPID.NS,83.66,50.01,49.71
2025-07-15,CUPID.NS,101.25,23.99,23.69
2025-07-22,CUPID.NS,101.73,12.74,12.44
2025-07-29,CUPID.NS,92.7,13.96,13.66
2025-08-05,CUPID.NS,94.52,10.38,10.08
2025-08-12,CUPID.NS,77.63,21.75,21.45
2025-08-20,CUPID.NS,68.23,24.15,23.85
2025-08-28,CUPID.NS,58.56,26.9,26.6
2025-09-04,CUPID.NS,62.46,19.95,19.65
2025-09-11,CUPID.NS,110.03,22.29,21.99
2025-09-18,CUPID.NS,129.73,21.65,21.35
2025-09-25,CUPID.NS,109.97,8.79,8.49
2025-10-03,CUPID.NS,96.26,13.89,13.59
2025-10-10,CUPID.NS,124.69,2.83,2.53
2025-10-17,ATHERENERG.NS,97.35,-3.58,-3.88
2025-10-27,ATHERENERG.NS,122.13,-6.73,-7.03
2025-11-03,ATHERENERG.NS,97.42,-0.93,-1.23
2025-11-11,ATHERENERG.NS,65.76,-1.69,-1.99
2025-11-18,CUPID.NS,86.79,34.27,33.97
2025-11-25,CUPID.NS,95.7,39.38,39.08
2025-12-02,CUPID.NS,104.54,46.75,46.45
2025-12-09,CUPID.NS,108.25,10.79,10.49
2025-12-16,CUPID.NS,103.04,10.38,10.08
2025-12-23,CUPID.NS,115.22,-12.54,-12.84
2025-12-31,CUPID.NS,135.62,-22.6,-22.9
2026-01-07,CUPID.NS,101.79,-3.17,-3.47
2026-01-14,CUPID.NS,86.34,-7.66,-7.96
2026-01-22,CUPID.NS,63.63,0.98,0.68
2026-01-30,CUPID.NS,67.1,3.19,2.89
2026-02-06,CUPID.NS,62.4,-78.34,-78.64
2026-02-13,SANSERA.NS,44.54,-9.88,-10.18
2026-02-20,ASHOKLEY.NS,44.34,-22.44,-22.74
2026-02-27,VEDL.NS,36.58,-5.73,-6.03
2026-03-09,GVT&D.NS,36.11,3.79,3.49
2026-03-16,ACUTAAS.NS,30.11,9.09,8.79
2026-03-23,ACUTAAS.NS,37.59,5.59,5.29
2026-04-01,ACUTAAS.NS,41.18,14.76,14.46
2026-04-09,SHILPAMED.NS,32.18,8.87,8.57
2026-04-17,GVT&D.NS,52.24,6.97,6.67
2026-04-24,GVT&D.NS,76.8,3.84,3.54
2026-05-04,APARINDS.NS,67.87,6.65,6.35
2026-05-11,SHILPAMED.NS,52.08,24.77,24.47
2026-05-18,BHEL.NS,43.15,-2.8,-3.1
2026-05-25,BHEL.NS,59.59,-4.66,-4.96
2026-06-02,E2E.NS,77.15,-90.69,-90.99
2026-06-09,SHILPAMED.NS,80.28,4.6,4.3
2026-06-16,CUPID.NS,89.75,33.22,32.92
2026-06-23,CUPID.NS,129.5,13.69,13.39
2026-07-01,CUPID.NS,139.78,6.99,6.69
2026-07-08,CUPID.NS,122.45,5.04,4.74
