ticker,episode_start_date,episode_end_date,category,category_changes,pattern_used,market_regime_verdict,sector_health_verdict,confidence_score,exit_reason,days_held,gross_return_pct,net_return_pct,r_multiple,n_signals_absorbed,caps_applied,gate
AZAD.NS,2024-07-23,2024-09-18,MONITOR,"AVOID,MONITOR",,FAVORABLE,NEUTRAL,100.0,TIME_EXIT,40,-5.517024949003615,-5.817024949003615,-0.6278651306655709,8,,4_pattern_requirement
METROPOLIS.NS,2024-09-11,2024-11-07,EXECUTE,"AVOID,EXECUTE,MONITOR",is_vcp_breakout,CAUTION,STRONG,91.6,TIME_EXIT,40,-2.3399384956877576,-2.6399384956877574,-0.6181488236768796,8,,5_execute
BAJFINANCE.NS,2024-09-18,2024-10-15,ALERT_WATCHLIST,"ALERT_WATCHLIST,AVOID,MONITOR",is_vcp_breakout,CAUTION,NEUTRAL,73.6,STOP_HIT,18,-3.350808749236261,-3.6508087492362606,-1.0895306245300864,4,,2_sector_ceiling
BHARTIHEXA.NS,2024-09-18,2024-09-27,MONITOR,MONITOR,,CAUTION,STRONG,100.0,TARGET_HIT,7,9.492066783215389,9.192066783215388,1.2104933247348106,2,,4_pattern_requirement
VIYASH.NS,2024-09-25,2024-09-30,EXECUTE,EXECUTE,is_ascending_triangle_breakout,CAUTION,STRONG,72.8,TARGET_HIT,3,27.70086182930219,27.40086182930219,2.051168667073201,1,,5_execute
BHARTIHEXA.NS,2024-10-03,2024-10-16,MONITOR,"AVOID,MONITOR",,CAUTION,STRONG,100.0,TARGET_HIT,9,11.748699712042262,11.448699712042261,1.2180815742004523,2,,4_pattern_requirement
OBEROIRLTY.NS,2024-11-07,2024-12-17,ALERT_WATCHLIST,"ALERT_WATCHLIST,AVOID,MONITOR",is_ascending_triangle_breakout,CAUTION,WEAK,70.6,TARGET_HIT,26,15.045103092783494,14.745103092783493,2.3295414093477844,6,,2_sector_ceiling
AZAD.NS,2024-12-02,2025-01-13,MONITOR,"AVOID,MONITOR",,UNFAVORABLE,WEAK,100.0,STOP_HIT,29,-9.075987617534125,-9.375987617534125,-1.033054253998807,6,,4_pattern_requirement
LLOYDSENT.NS,2024-12-09,2024-12-20,MONITOR,MONITOR,,UNFAVORABLE,NEUTRAL,100.0,STOP_HIT,9,-9.350039421385024,-9.650039421385024,-1.0320854262190438,2,,4_pattern_requirement
LLOYDSENT.NS,2024-12-23,2024-12-31,MONITOR,MONITOR,,UNFAVORABLE,NEUTRAL,100.0,TARGET_HIT,5,12.274391808662742,11.974391808662741,1.21944858809743,1,,4_pattern_requirement
LLOYDSENT.NS,2024-12-31,2025-01-03,MONITOR,MONITOR,,CAUTION,NEUTRAL,100.0,TARGET_HIT,3,11.962282273377998,11.662282273377997,1.2186514670503497,1,,4_pattern_requirement
LLOYDSENT.NS,2025-01-07,2025-01-08,ALERT_WATCHLIST,ALERT_WATCHLIST,is_ascending_triangle_breakout,UNFAVORABLE,NEUTRAL,100.0,TARGET_HIT,1,15.465523957927552,15.165523957927551,1.0166559569914395,1,,1_regime_ceiling
AIIL.NS,2025-01-07,2025-01-13,MONITOR,MONITOR,,UNFAVORABLE,NEUTRAL,100.0,STOP_HIT,4,-8.70176980857518,-9.001769808575181,-1.0344757453483042,1,,4_pattern_requirement
LLOYDSENT.NS,2025-01-14,2025-01-21,MONITOR,MONITOR,,UNFAVORABLE,NEUTRAL,100.0,TARGET_HIT,5,14.70389978920065,14.403899789200649,1.224496561770952,1,,4_pattern_requirement
BHARTIHEXA.NS,2025-01-21,2025-02-01,MONITOR,MONITOR,,UNFAVORABLE,NEUTRAL,100.0,TARGET_HIT,9,9.798361702866815,9.498361702866815,1.2117282958751872,2,,4_pattern_requirement
LLOYDSENT.NS,2025-01-21,2025-01-28,MONITOR,MONITOR,,UNFAVORABLE,NEUTRAL,100.0,STOP_HIT,5,-11.24270196927684,-11.542701969276841,-1.0266839769318636,1,,4_pattern_requirement
LLOYDSENT.NS,2025-01-28,2025-02-12,MONITOR,MONITOR,,UNFAVORABLE,NEUTRAL,100.0,STOP_HIT,12,-12.878365331919698,-13.178365331919698,-1.0232948819409895,3,,4_pattern_requirement
NYKAA.NS,2025-02-03,2025-02-27,ALERT_WATCHLIST,"ALERT_WATCHLIST,AVOID",is_vcp_breakout,UNFAVORABLE,NEUTRAL,76.2,STOP_HIT,17,-7.354192767251217,-7.6541927672512164,-1.0407930563549983,4,,1_regime_ceiling
LLOYDSENT.NS,2025-02-17,2025-03-17,MONITOR,"AVOID,MONITOR",,CAUTION,NEUTRAL,100.0,STOP_HIT,18,-14.61054589815766,-14.910545898157661,-1.0205331136900113,4,,4_pattern_requirement
BHARTIHEXA.NS,2025-04-11,2025-04-23,MONITOR,"AVOID,MONITOR",,CAUTION,STRONG,100.0,TARGET_HIT,6,11.245723316487334,10.945723316487333,1.2166539901928557,2,,4_pattern_requirement
HINDUNILVR.NS,2025-04-11,2025-04-23,ALERT_WATCHLIST,"ALERT_WATCHLIST,AVOID",is_ascending_triangle_breakout,CAUTION,NEUTRAL,72.2,TARGET_HIT,6,6.380460865849241,6.080460865849242,1.003809975215477,2,,2_sector_ceiling
BAJAJHFL.NS,2025-04-17,2025-05-06,MONITOR,"AVOID,MONITOR",,CAUTION,STRONG,100.0,STOP_HIT,11,-7.569227565988782,-7.869227565988782,-1.0396341631143455,3,,4_pattern_requirement
CHOLAFIN.NS,2025-04-22,2025-06-18,ALERT_WATCHLIST,"ALERT_WATCHLIST,AVOID,MONITOR",is_ascending_triangle_breakout,CAUTION,STRONG,88.6,TIME_EXIT,40,3.038961038961036,2.7389610389610364,0.21817266669306287,8,RR_BELOW_FLOOR,3_rr_floor
AIIL.NS,2025-04-22,2025-05-09,MONITOR,"AVOID,MONITOR",,CAUTION,STRONG,100.0,STOP_HIT,12,-10.12005858584543,-10.42005858584543,-1.0296440971616112,3,,4_pattern_requirement
BAJAJHFL.NS,2025-05-12,2025-07-07,MONITOR,"AVOID,MONITOR",,CAUTION,STRONG,100.0,TIME_EXIT,40,0.0993048659384229,-0.20069513406157707,-0.02645074910101448,8,,4_pattern_requirement
PIDILITIND.NS,2025-05-14,2025-07-09,ALERT_WATCHLIST,"ALERT_WATCHLIST,AVOID,MONITOR",is_ascending_triangle_breakout,CAUTION,NEUTRAL,67.2,TIME_EXIT,40,1.2926164683990196,0.9926164683990195,0.15668347979107441,8,,2_sector_ceiling
SAIL.NS,2025-07-02,2025-07-28,ALERT_WATCHLIST,"ALERT_WATCHLIST,AVOID,MONITOR",is_flat_base_breakout,CAUTION,NEUTRAL,66.8,STOP_HIT,18,-7.860648932491135,-8.160648932491135,-1.0381647879935183,4,,2_sector_ceiling
DALBHARAT.NS,2025-07-02,2025-07-22,ALERT_WATCHLIST,"ALERT_WATCHLIST,AVOID,MONITOR",is_ascending_triangle_breakout,CAUTION,NEUTRAL,71.8,TARGET_HIT,14,7.543172921943365,7.243172921943366,1.092669028192997,3,,2_sector_ceiling
APOLLOHOSP.NS,2025-07-02,2025-07-03,ALERT_WATCHLIST,ALERT_WATCHLIST,is_ascending_triangle_breakout,CAUTION,NEUTRAL,68.0,TARGET_HIT,1,5.0376862401402285,4.737686240140229,1.3353964978362245,1,,2_sector_ceiling
LLOYDSENT.NS,2025-07-02,2025-07-04,MONITOR,MONITOR,,CAUTION,NEUTRAL,100.0,TARGET_HIT,2,12.903723100524443,12.603723100524443,1.2209386200340298,1,,4_pattern_requirement
LLOYDSENT.NS,2025-07-09,2025-07-18,MONITOR,MONITOR,,FAVORABLE,NEUTRAL,100.0,STOP_HIT,7,-10.555385632077147,-10.855385632077148,-1.0284215101614402,2,,4_pattern_requirement
ATHERENERG.NS,2025-07-15,2025-08-04,MONITOR,"AVOID,MONITOR",,CAUTION,NEUTRAL,100.0,TARGET_HIT,14,8.253057875713626,7.953057875713626,1.2045622961031797,3,,4_pattern_requirement
