ticker,episode_start_date,episode_end_date,category,category_changes,pattern_used,market_regime_verdict,sector_health_verdict,confidence_score,exit_reason,days_held,gross_return_pct,net_return_pct,r_multiple,n_signals_absorbed,risk_fraction,contribution,factor,log_growth
POLICYBZR.NS,2024-08-14,2024-08-16,EXECUTE,EXECUTE,is_ascending_triangle_breakout,CAUTION,WEAK,63.0,TARGET_HIT,1,10.20335625412808,9.903356254128079,1.3853971497081137,1,1.0,0.013853971497081136,1.0138539714970811,0.013758882467925337
PPLPHARMA.NS,2024-09-05,2024-09-11,EXECUTE,EXECUTE,is_ascending_triangle_breakout,CAUTION,NEUTRAL,47.0,TARGET_HIT,4,24.8868778280543,24.5868778280543,3.451473286587156,1,1.0,0.03451473286587156,1.0345147328658715,0.033932459635034544
ABREL.NS,2024-09-12,2024-09-13,EXECUTE,EXECUTE,is_ascending_triangle_breakout,CAUTION,NEUTRAL,48.2,TARGET_HIT,1,15.4368254417819,15.1368254417819,1.70115754434598,1,1.0,0.0170115754434598,1.0170115754434599,0.016868498951953696
KAYNES.NS,2024-08-14,2024-09-17,EXECUTE,"AVOID,EXECUTE",is_ascending_triangle_breakout,CAUTION,NEUTRAL,53.8,TARGET_HIT,23,19.898099030973377,19.598099030973376,1.4183660131525169,5,1.0,0.014183660131525168,1.0141836601315253,0.014084013158013848
AVALON.NS,2024-09-19,2024-09-24,EXECUTE,EXECUTE,is_ascending_triangle_breakout,CAUTION,NEUTRAL,50.8,TARGET_HIT,3,21.64454277286136,21.34454277286136,1.9603769091573766,1,1.0,0.019603769091573766,1.0196037690915738,0.019414090150469982
NBCC.NS,2024-08-29,2024-10-03,EXECUTE,"AVOID,EXECUTE",is_ascending_triangle_breakout,CAUTION,NEUTRAL,59.2,STOP_HIT,24,-16.194200622489692,-16.494200622489693,-1.0185251502678914,5,1.0,-0.010185251502678913,0.9898147484973211,-0.010237476093122505
BIOCON.NS,2024-09-05,2024-10-04,EXECUTE,"AVOID,EXECUTE",is_vcp_breakout,CAUTION,NEUTRAL,51.4,STOP_HIT,20,-3.31036023596124,-3.61036023596124,-1.0906245781776338,4,1.0,-0.010906245781776338,0.9890937542182237,-0.010966154867315878
NAUKRI.NS,2024-09-19,2024-10-04,EXECUTE,"EXECUTE,MONITOR",is_ascending_triangle_breakout,CAUTION,NEUTRAL,71.8,TARGET_HIT,10,10.01874056752409,9.718740567524089,2.2594399276042982,2,1.0,0.02259439927604298,1.022594399276043,0.022342926703763196
APOLLOTYRE.NS,2024-09-26,2024-10-07,EXECUTE,"AVOID,EXECUTE",is_ascending_triangle_breakout,CAUTION,NEUTRAL,42.6,STOP_HIT,6,-4.0458437324580325,-4.345843732458032,-1.0741501698627733,2,1.0,-0.010741501698627734,0.9892584983013722,-0.010799608102633721
IPCALAB.NS,2024-10-11,2024-10-14,EXECUTE,EXECUTE,is_ascending_triangle_breakout,CAUTION,NEUTRAL,60.0,TARGET_HIT,1,9.589132427702312,9.289132427702311,2.400824945209764,1,1.0,0.02400824945209764,1.0240082494520977,0.023724582690429933
TRITURBINE.NS,2024-10-11,2024-10-25,EXECUTE,"AVOID,EXECUTE",is_ascending_triangle_breakout,CAUTION,NEUTRAL,52.0,STOP_HIT,10,-11.43908186436474,-11.73908186436474,-1.0262258810241203,2,1.0,-0.010262258810241202,0.9897377411897588,-0.010315278836926834
SYNGENE.NS,2024-09-05,2024-11-01,EXECUTE,"AVOID,EXECUTE",is_flat_base_breakout,CAUTION,NEUTRAL,50.4,TIME_EXIT,40,-3.1102362204724385,-3.4102362204724384,-0.42576817552057317,8,1.0,-0.004257681755205731,0.9957423182447943,-0.004266771492149905
PAGEIND.NS,2024-10-11,2024-11-08,EXECUTE,"AVOID,EXECUTE",is_ascending_triangle_breakout,CAUTION,NEUTRAL,42.6,TARGET_HIT,20,7.944658738273945,7.644658738273945,1.300615339284907,4,1.0,0.013006153392849069,1.0130061533928492,0.012922299673417084
ZENSARTECH.NS,2024-12-10,2025-01-23,EXECUTE,"AVOID,EXECUTE,MONITOR",is_ascending_triangle_breakout,UNFAVORABLE,NEUTRAL,41.6,TARGET_HIT,31,14.286676319067986,13.986676319067985,1.5744671987376184,7,1.0,0.015744671987376186,1.0157446719873762,0.01562201047433048
NH.NS,2025-02-25,2025-02-27,EXECUTE,EXECUTE,is_ascending_triangle_breakout,CAUTION,WEAK,57.6,TARGET_HIT,1,8.778280542986424,8.478280542986424,1.2471361274110764,1,1.0,0.012471361274110764,1.0124713612741107,0.012394234437152332
NH.NS,2025-03-05,2025-03-06,EXECUTE,EXECUTE,is_ascending_triangle_breakout,CAUTION,WEAK,59.0,TARGET_HIT,1,11.175866533775698,10.875866533775698,1.5083252319627753,1,1.0,0.015083252319627753,1.0150832523196278,0.014970631119912276
KOTAKBANK.NS,2025-03-27,2025-03-28,EXECUTE,EXECUTE,is_ascending_triangle_breakout,CAUTION,WEAK,46.2,TARGET_HIT,1,5.077965756216875,4.777965756216875,1.1832428860797701,1,1.0,0.011832428860797701,1.0118324288607976,0.01176297302506165
HOMEFIRST.NS,2025-04-15,2025-04-23,EXECUTE,EXECUTE,is_ascending_triangle_breakout,CAUTION,NEUTRAL,42.2,TARGET_HIT,5,19.933585042987776,19.633585042987775,1.556684437435605,1,1.0,0.015566844374356051,1.015566844374356,0.015446923972784922
KPRMILL.NS,2025-05-08,2025-05-09,EXECUTE,EXECUTE,is_ascending_triangle_breakout,CAUTION,NEUTRAL,49.0,TARGET_HIT,1,18.925288710817817,18.625288710817816,2.3116846736059373,1,1.0,0.023116846736059373,1.0231168467360594,0.02285370013026059
SHREECEM.NS,2025-05-15,2025-06-02,EXECUTE,"AVOID,EXECUTE",is_ascending_triangle_breakout,CAUTION,WEAK,87.0,STOP_HIT,12,-6.809073500637669,-7.109073500637669,-1.0440588576363443,3,1.0,-0.010440588576363444,0.9895594114236366,-0.010495473878756984
ESCORTS.NS,2025-05-15,2025-06-13,EXECUTE,"AVOID,EXECUTE",is_ascending_triangle_breakout,CAUTION,WEAK,55.4,STOP_HIT,21,-9.175386878829796,-9.475386878829797,-1.032696168996665,5,1.0,-0.010326961689966649,0.9896730383100334,-0.010380654736076753
DMART.NS,2025-04-23,2025-06-19,EXECUTE,"AVOID,EXECUTE",is_ascending_triangle_breakout,CAUTION,NEUTRAL,44.6,TIME_EXIT,40,1.4567618128055122,1.1567618128055122,0.1262078784857221,8,1.0,0.001262078784857221,1.0012620787848572,0.001261283032891665
LLOYDSENGG.NS,2025-07-03,2025-07-04,EXECUTE,EXECUTE,is_ascending_triangle_breakout,CAUTION,NEUTRAL,48.6,TARGET_HIT,1,24.072612470402515,23.772612470402514,1.7775966918844381,1,1.0,0.017775966918844383,1.0177759669188444,0.017619822120027058
DCMSHRIRAM.NS,2025-07-03,2025-07-04,EXECUTE,EXECUTE,is_vcp_breakout,CAUTION,NEUTRAL,48.0,TARGET_HIT,1,18.91665970074396,18.61665970074396,3.810883440555566,1,1.0,0.03810883440555566,1.0381088344055556,0.03740062934900048
