Symbol,reason,triggering_value
ORCHPHARMA.NS,HIGH_DE,UNKNOWN
AETHER.NS,LOW_REL_VOL,0.2487600939117061
ANANTRAJ.NS,LOW_REL_VOL,0.4427867906045905
COFORGE.NS,LOW_REL_VOL,0.4900767794132643
EXIDEIND.NS,LOW_REL_VOL,0.2360880450440428
FLUOROCHEM.NS,LOW_REL_VOL,0.4588356230131696
LALPATHLAB.NS,LOW_REL_VOL,0.2695483884365842
QUESS.NS,LOW_REL_VOL,0.30230144750517
RADICO.NS,LOW_REL_VOL,0.4338415564389178
RRKABEL.NS,LOW_REL_VOL,0.4386512641195501
SAREGAMA.NS,LOW_REL_VOL,0.3564796863457968
SBCL.NS,LOW_REL_VOL,0.1674298135676493
SHADOWFAX.NS,LOW_REL_VOL,0.2980551245804237
SHILPAMED.NS,LOW_REL_VOL,0.1946128630535521
STYL.NS,LOW_REL_VOL,0.3583091977510642
AJANTPHARM.NS,LOW_ROCE,0.28%
AMAGI.NS,LOW_ROCE,1.59%
APARINDS.NS,LOW_ROCE,1.08%
ATHERENERG.NS,LOW_ROCE,-17.24%
BHEL.NS,LOW_ROCE,3.65%
CHENNPETRO.NS,LOW_ROCE,0.23%
CUPID.NS,LOW_ROCE,3.70%
CYIENTDLM.NS,LOW_ROCE,7.50%
DIVISLAB.NS,LOW_ROCE,0.04%
EMCURE.NS,LOW_ROCE,0.22%
ETERNAL.NS,LOW_ROCE,-0.18%
ETHOSLTD.NS,LOW_ROCE,6.12%
GRAPHITE.NS,LOW_ROCE,2.69%
HAPPYFORGE.NS,LOW_ROCE,0.00%
HSCL.NS,LOW_ROCE,0.28%
LLOYDSENGG.NS,LOW_ROCE,0.90%
MARKSANS.NS,LOW_ROCE,0.10%
NAUKRI.NS,LOW_ROCE,2.34%
PAYTM.NS,LOW_ROCE,-0.26%
PGEL.NS,LOW_ROCE,8.91%
RUBICON.NS,LOW_ROCE,0.04%
SANSERA.NS,LOW_ROCE,1.72%
SGMART.NS,LOW_ROCE,7.65%
SONACOMS.NS,LOW_ROCE,0.04%
UNIMECH.NS,LOW_ROCE,6.41%
YATHARTH.NS,LOW_ROCE,9.74%
GALAXYSURF.NS,SCORE_BELOW_40,5.4
INDIGOPNTS.NS,SCORE_BELOW_40,26.2
SAILIFE.NS,SCORE_BELOW_40,27.2
TATATECH.NS,SCORE_BELOW_40,16.6
ABB.NS,TREND_NOT_UPTREND,CHOPPY
ACE.NS,TREND_NOT_UPTREND,CHOPPY
ACUTAAS.NS,TREND_NOT_UPTREND,DOWNTREND
AEROFLEX.NS,TREND_NOT_UPTREND,CHOPPY
AIIL.NS,TREND_NOT_UPTREND,CHOPPY
AKUMS.NS,TREND_NOT_UPTREND,CHOPPY
ALIVUS.NS,TREND_NOT_UPTREND,CHOPPY
ANANDRATHI.NS,TREND_NOT_UPTREND,DOWNTREND
APLAPOLLO.NS,TREND_NOT_UPTREND,CHOPPY
ATLANTAELE.NS,TREND_NOT_UPTREND,DOWNTREND
AUROPHARMA.NS,TREND_NOT_UPTREND,CHOPPY
AVALON.NS,TREND_NOT_UPTREND,CHOPPY
AZAD.NS,TREND_NOT_UPTREND,DOWNTREND
BELRISE.NS,TREND_NOT_UPTREND,CHOPPY
BEML.NS,TREND_NOT_UPTREND,CHOPPY
BERGEPAINT.NS,TREND_NOT_UPTREND,CHOPPY
BLISSGVS.NS,TREND_NOT_UPTREND,DOWNTREND
CANHLIFE.NS,TREND_NOT_UPTREND,CHOPPY
CAPLIPOINT.NS,TREND_NOT_UPTREND,DOWNTREND
CARBORUNIV.NS,TREND_NOT_UPTREND,CHOPPY
CARTRADE.NS,TREND_NOT_UPTREND,CHOPPY
CGPOWER.NS,TREND_NOT_UPTREND,DOWNTREND
CONCORDBIO.NS,TREND_NOT_UPTREND,DOWNTREND
DIXON.NS,TREND_NOT_UPTREND,DOWNTREND
E2E.NS,TREND_NOT_UPTREND,CHOPPY
EICHERMOT.NS,TREND_NOT_UPTREND,CHOPPY
ELGIEQUIP.NS,TREND_NOT_UPTREND,CHOPPY
ENDURANCE.NS,TREND_NOT_UPTREND,CHOPPY
ENRIN.NS,TREND_NOT_UPTREND,CHOPPY
FCL.NS,TREND_NOT_UPTREND,CHOPPY
FINCABLES.NS,TREND_NOT_UPTREND,CHOPPY
