symbol,category,reason,confidence_score,predicted_p,Trend_State,Rel_Vol,D_E,ROCE
AETHER.NS,AVOID,DISQUALIFIER:LOW_ROCE,0.0,,UPTREND,0.6867415826914318,0.1865,0.82
AJANTPHARM.NS,AVOID,DISQUALIFIER:LOW_ROCE,0.0,,UPTREND,0.8629382680237788,0.0587,0.28
APARINDS.NS,AVOID,DISQUALIFIER:LOW_ROCE,0.0,,UPTREND,0.9652184325378529,0.1772,1.08
ATLANTAELE.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,DOWNTREND,1.2131481090232354,0.0546,1.63
AVALON.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,CHOPPY,0.4020333524826425,0.295,3.76
CHENNPETRO.NS,AVOID,DISQUALIFIER:LOW_REL_VOL,0.0,,UPTREND,0.2661607692589926,0.17679999999999998,0.23
COFORGE.NS,AVOID,DISQUALIFIER:LOW_REL_VOL,0.0,,UPTREND,0.4811628207323519,0.07519999999999999,0.65
CONCORDBIO.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,DOWNTREND,0.7167695969053144,0.0012,0.07
CUPID.NS,AVOID,DISQUALIFIER:LOW_ROCE,0.0,,UPTREND,0.7742614124245258,0.1251,3.7
DIVISLAB.NS,AVOID,DISQUALIFIER:LOW_ROCE,0.0,,UPTREND,0.6115116251282233,0.0004,0.04
DIXON.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,DOWNTREND,0.5556409260996624,0.18460000000000001,11.03
ELGIEQUIP.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,CHOPPY,22.39922827578445,0.2389,0.15
EMCURE.NS,AVOID,DISQUALIFIER:LOW_ROCE,0.0,,UPTREND,0.8027534581652835,0.3057,0.22
EMMVEE.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,CHOPPY,0.5117221106593765,0.0974,1.25
ENRIN.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,CHOPPY,0.23886887381901292,0.044800000000000006,2.13
FINCABLES.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,CHOPPY,0.7301201699294309,0.0031,2.52
GRANULES.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,CHOPPY,0.34340292267046424,0.2973,0.07
GROWW.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,CHOPPY,0.5058986371458114,0.030299999999999997,0.0
HAPPYFORGE.NS,AVOID,DISQUALIFIER:LOW_ROCE,0.0,,UPTREND,1.9165325608840253,0.1549,0.0
HONASA.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,CHOPPY,25.37927807867154,0.0959,5.48
HSCL.NS,AVOID,DISQUALIFIER:LOW_REL_VOL,0.0,,UPTREND,0.4361991608416133,0.1617,0.28
IPCALAB.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,CHOPPY,1.4240570190110158,0.0849,0.14
JUBLINGREA.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,DOWNTREND,0.28044237506739933,0.25329999999999997,1.0
KAJARIACER.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,CHOPPY,1.0654805940585514,0.073,1.57
KEI.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,CHOPPY,0.36801547247909344,0.038,2.31
LLOYDSENGG.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,CHOPPY,0.6232919617339447,0.0645,0.9
MARKSANS.NS,AVOID,DISQUALIFIER:LOW_ROCE,0.0,,UPTREND,4.923218260314644,0.1125,0.1
MCX.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,DOWNTREND,0.6617062594667626,0.0011,2.93
NAM-INDIA.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,DOWNTREND,0.526675271175848,0.016200000000000003,0.19
NATIONALUM.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,DOWNTREND,1.807020531210551,0.0028000000000000004,0.26
NAVINFLUOR.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,CHOPPY,0.19612377286475538,0.3209,0.3
NESTLEIND.NS,AVOID,DISQUALIFIER:LOW_ROCE,0.0,,UPTREND,0.5760698763584455,0.0862,
OBEROIRLTY.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,CHOPPY,0.8351183419233266,0.1577,0.11
OFSS.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,CHOPPY,0.5929810939162595,0.005699999999999999,0.11
PARAS.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,DOWNTREND,3.019678810170479,0.0373,2.13
PIDILITIND.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,CHOPPY,0.5085553967415433,0.0378,0.12
POLYCAB.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,DOWNTREND,0.4229555728914977,0.0174,0.24
POWERINDIA.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,DOWNTREND,0.7964633684762633,0.0166,4.48
