symbol,category,reason,confidence_score,predicted_p,Trend_State,Rel_Vol,D_E,ROCE
AETHER.NS,AVOID,SCORE_BELOW_40,13.0,,UPTREND,0.6867415826914318,0.1865,11.68
AJANTPHARM.NS,AVOID,SCORE_BELOW_40,36.2,,UPTREND,0.8629382680237788,0.0587,27.99
APARINDS.NS,MONITOR,NO_CONFIRMED_PATTERN,44.8,,UPTREND,0.9652184325378529,0.1772,28.67
ATLANTAELE.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,DOWNTREND,1.2131481090232354,0.0546,33.13
AVALON.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,CHOPPY,0.4020333524826425,0.295,18.18
CHENNPETRO.NS,AVOID,DISQUALIFIER:LOW_REL_VOL,0.0,,UPTREND,0.2661607692589926,0.17679999999999998,34.82
COFORGE.NS,AVOID,DISQUALIFIER:LOW_REL_VOL,0.0,,UPTREND,0.4811628207323519,0.07519999999999999,21.09
CONCORDBIO.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,DOWNTREND,0.7167695969053144,0.0012,14.76
CUPID.NS,MONITOR,NO_CONFIRMED_PATTERN,54.6,,UPTREND,0.7742614124245258,0.1251,23.71
DIVISLAB.NS,MONITOR,NO_CONFIRMED_PATTERN,41.6,,UPTREND,0.6115116251282233,0.0004,16.56
DIXON.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,DOWNTREND,0.5556409260996624,0.18460000000000001,22.8
ELGIEQUIP.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,CHOPPY,22.39922827578445,0.2389,21.38
EMCURE.NS,MONITOR,NO_CONFIRMED_PATTERN,44.8,,UPTREND,0.8027534581652835,0.3057,24.1
EMMVEE.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,CHOPPY,0.5117221106593765,0.0974,33.55
ENRIN.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,CHOPPY,0.23886887381901292,0.044800000000000006,27.44
FINCABLES.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,CHOPPY,0.7301201699294309,0.0031,8.52
GRANULES.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,CHOPPY,0.34340292267046424,0.2973,16.0
GROWW.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,CHOPPY,0.5058986371458114,0.030299999999999997,25.21
HAPPYFORGE.NS,EXECUTE,,44.0,0.9304855557271617,UPTREND,1.9165325608840253,0.1549,17.56
HONASA.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,CHOPPY,25.37927807867154,0.0959,12.58
HSCL.NS,AVOID,DISQUALIFIER:LOW_REL_VOL,0.0,,UPTREND,0.4361991608416133,0.1617,18.49
IPCALAB.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,CHOPPY,1.4240570190110158,0.0849,16.2
JUBLINGREA.NS,AVOID,DISQUALIFIER:TREND_NOT_UPTREND,0.0,,DOWNTREND,0.28044237506739933,0.25329999999999997,10.62
