episode_start_date,ticker,win,tier_reading_a_adopted,tier_reading_b_rejected,split,predicted_p
2024-07-25,SUNPHARMA.NS,1,EXECUTE,WATCHLIST,tuning,0.7634482292971484
2024-07-25,FORTIS.NS,1,EXECUTE,EXECUTE,tuning,0.8184980037348321
2024-07-25,GRANULES.NS,1,BELOW_WATCHLIST,BELOW_WATCHLIST,tuning,0.4591523427767394
2024-07-25,TMPV.NS,0,EXECUTE,WATCHLIST,tuning,0.6907407114109407
2024-07-25,PETRONET.NS,0,BELOW_WATCHLIST,BELOW_WATCHLIST,tuning,0.5761490519587537
2024-07-25,COHANCE.NS,1,BELOW_WATCHLIST,BELOW_WATCHLIST,tuning,0.6226227235288595
2024-07-25,CROMPTON.NS,1,BELOW_WATCHLIST,BELOW_WATCHLIST,tuning,0.5897949360853167
2024-07-25,IOC.NS,0,BELOW_WATCHLIST,BELOW_WATCHLIST,tuning,0.4795940012074096
2024-08-01,JUBLPHARMA.NS,1,EXECUTE,EXECUTE,tuning,0.9999616622257809
2024-08-01,TORNTPOWER.NS,1,EXECUTE,EXECUTE,tuning,0.9927834581872519
2024-08-01,SUZLON.NS,1,EXECUTE,EXECUTE,tuning,0.9358387528975285
2024-08-01,HSCL.NS,1,BELOW_WATCHLIST,BELOW_WATCHLIST,tuning,0.5807188710507376
2024-08-01,MINDACORP.NS,1,BELOW_WATCHLIST,BELOW_WATCHLIST,tuning,0.5752035004129004
2024-08-08,TRITURBINE.NS,1,EXECUTE,EXECUTE,tuning,0.9907409995952952
2024-08-08,CIPLA.NS,1,EXECUTE,EXECUTE,tuning,0.8018256778960413
2024-08-08,ALKEM.NS,1,EXECUTE,EXECUTE,tuning,0.9137473017973146
2024-08-08,LALPATHLAB.NS,1,EXECUTE,EXECUTE,tuning,0.93315226046015
2024-08-16,POLICYBZR.NS,1,EXECUTE,EXECUTE,tuning,0.8516455009421514
2024-08-16,KAYNES.NS,1,EXECUTE,EXECUTE,tuning,0.822599554854631
2024-08-16,CDSL.NS,1,EXECUTE,EXECUTE,tuning,0.8911768676419634
2024-08-16,GLENMARK.NS,1,EXECUTE,EXECUTE,tuning,0.9541422576023078
2024-08-23,GILLETTE.NS,1,EXECUTE,EXECUTE,tuning,0.8193307116336978
2024-08-30,BHARTIARTL.NS,1,EXECUTE,EXECUTE,tuning,0.8231286436158066
2024-08-30,INDHOTEL.NS,1,EXECUTE,WATCHLIST,tuning,0.672928740435582
2024-08-30,SHRIRAMFIN.NS,0,BELOW_WATCHLIST,BELOW_WATCHLIST,tuning,0.11784728322797565
2024-09-06,PPLPHARMA.NS,1,EXECUTE,EXECUTE,tuning,0.9299319512356015
2024-09-06,DMART.NS,1,EXECUTE,WATCHLIST,tuning,0.6577185699596144
2024-09-06,GODREJIND.NS,1,EXECUTE,EXECUTE,tuning,0.9963270825622769
2024-09-13,NAVA.NS,1,EXECUTE,EXECUTE,tuning,0.8187766442605617
2024-09-13,NEWGEN.NS,1,EXECUTE,EXECUTE,tuning,0.8151877691847296
2024-09-13,JBMA.NS,0,BELOW_WATCHLIST,BELOW_WATCHLIST,tuning,0.21263871630565456
2024-09-13,ABREL.NS,1,EXECUTE,EXECUTE,tuning,0.9086006479433113
2024-09-13,CARTRADE.NS,1,EXECUTE,EXECUTE,tuning,0.8461872812637705
2024-09-13,OFSS.NS,0,BELOW_WATCHLIST,BELOW_WATCHLIST,tuning,0.2711540775243721
2024-09-20,WABAG.NS,1,EXECUTE,EXECUTE,tuning,0.9658660814349168
2024-09-20,UBL.NS,0,BELOW_WATCHLIST,BELOW_WATCHLIST,tuning,0.6052319666936108
2024-09-20,JUBLFOOD.NS,0,BELOW_WATCHLIST,BELOW_WATCHLIST,tuning,0.4721798128124577
2024-09-20,BIKAJI.NS,0,EXECUTE,WATCHLIST,tuning,0.712417179260371
2024-09-20,DEVYANI.NS,1,EXECUTE,EXECUTE,tuning,0.9476883844311278
2024-09-20,MCDOWELL-N.NS,1,EXECUTE,WATCHLIST,tuning,0.7355509425234741
